,number,gender,person,aspect,case,collectivity,degree,negation,fullstoppedness,accomodability,agglutination,accentibility,prepositionality,vocality
acl,0.9928511354079058,0.9917617237008872,,0.3333333333333333,0.9928103193064073,,,1.0,,,,,,
acl:relcl,0.790641387656313,0.5715312724658519,,0.5555555555555556,0.20520231213872833,1.0,0.75,1.0,,,,,,
advcl,0.7543859649122807,0.49873737373737376,0.6993243243243243,0.6343801652892562,0.6973684210526315,,0.7714285714285715,1.0,,,1.0,,,
advcl:cmpr,0.7472527472527473,0.5344827586206896,1.0,0.6190476190476191,,,0.6,,,,,,,
advcl:relcl,0.7333333333333333,0.5,0.9333333333333333,0.6615384615384615,,,,,,,,,,
advmod,,,,,0.2,,0.7445600756859035,,,,,,,
amod,0.9978425996674007,0.9981122747089757,,,0.994835406655589,,0.9230769230769231,,1.0,,,,,
amod:flat,0.9986702127659575,0.9973404255319149,,,0.9886968085106383,,1.0,,,,,,,
appos,0.9433117851815017,0.8256972111553785,,1.0,0.883026381284221,1.0,,1.0,0.8888888888888888,,,,,
aux,0.9985714285714286,0.9900990099009901,,0.9672131147540983,,,,,,,,,,
aux:clitic,0.9985968194574368,,0.5,0.48708133971291867,,,,,,,,,,
aux:pass,0.988391376451078,0.9853556485355649,,0.6411722659042173,,,,,,,,,,
case,0.3333333333333333,0.3333333333333333,,,0.9475613915416098,,,,,,,,,
ccomp,0.6966019417475728,0.3208791208791209,0.51010101010101,0.5635036496350365,0.19230769230769232,,0.9090909090909091,1.0,,,,,,
ccomp:cleft,0.6916299559471366,0.1276595744680851,,,0.3157894736842105,1.0,,,,,,,,
ccomp:obj,0.7082018927444795,0.4393063583815029,0.6641221374045801,0.4912023460410557,0.14285714285714285,,,1.0,,,,,,
conj,0.8361594047363525,0.605673373210078,0.880248833592535,0.8115404976177872,0.9597000937207123,0.9917355371900827,0.9722222222222222,0.9797752808988764,0.926829268292683,0.8235294117647058,1.0,1.0,1.0,
cop,0.9594312003345881,0.7974882260596546,0.8,0.41379310344827586,,,,,,,,,,
csubj,0.7461139896373057,0.109375,0.9111111111111111,0.6412213740458015,0.45454545454545453,,,,,,,,,
csubj:pass,0.25,,,0.5,0.5,,,,,,,,,
det,0.9935653002859867,0.9859356376638856,,,0.9830750893921335,,0.9473684210526315,,,,,,,
det:numgov,0.9217970049916805,0.9767054908485857,,,0.009983361064891847,1.0,,,,,,,,
det:nummod,1.0,0.9890710382513661,,,1.0,1.0,,,,,,,,
det:poss,0.9982195845697329,0.9970326409495549,,,0.9970326409495549,,1.0,,,,,,,
fixed,0.9822222222222222,0.8778280542986425,,1.0,0.8954134815844337,1.0,1.0,,0.5882352941176471,,,,,0.9574468085106383
flat,0.979970688812897,0.9291646311675623,,,0.927734375,0.987012987012987,,,1.0,0.8571428571428571,,,,
iobj,0.6384615384615384,0.24793956043956045,0.29457364341085274,0.5511363636363636,0.11746680286006128,,,1.0,,,,,,
list,0.6666666666666666,0.5,,,1.0,,,,,,,,,
nmod,0.6719794344473008,0.26459619341563784,,0.6031746031746031,0.23235501894547556,0.8880866425992779,0.8620689655172413,1.0,0.6779661016949152,0.8333333333333334,,,,
nmod:arg,0.6133648861843588,0.2799188640973631,,,0.2733821046707935,0.9777777777777777,,,0.8636363636363636,,,,,
nmod:flat,0.8185140073081608,0.5566382460414129,,,0.6577669902912622,1.0,,,,,,,,
nmod:poss,0.509090909090909,0.05454545454545454,,,0.03636363636363636,,,,,,,,,
nmod:pred,1.0,,,1.0,,,,1.0,,,,,,
nsubj,0.9440346855377255,0.8882259347653142,0.9851063829787234,0.5255474452554745,0.6118197278911565,1.0,0.8333333333333334,1.0,,,,,,
nsubj:pass,0.9826923076923076,0.9759384023099134,,0.45,0.9913294797687862,,,1.0,,,,,,
nummod,0.9958540630182421,0.9543946932006634,,,0.9718076285240465,1.0,,,,,,,,
nummod:flat,1.0,1.0,,,1.0,,,,,,,,,
nummod:gov,0.969735182849937,0.8978562421185372,,,0.042821158690176324,0.9863013698630136,,,,,,,,
obj,0.6285414480587618,0.20605807975545365,0.3659147869674185,0.5081521739130435,0.4059439378588315,1.0,,1.0,1.0,,,,,
obl,0.65390662382938,0.25335215243472126,0.5978835978835979,0.5485996705107083,0.11269035532994924,,0.8666666666666667,0.9921259842519685,,,,,,
obl:agent,0.6105442176870748,0.2261904761904762,,,0.152428810720268,1.0,,1.0,,,,,,
obl:arg,0.6643280324290615,0.2579126340570233,0.3591549295774648,0.5422993492407809,0.15262860373092144,,1.0,0.9814814814814815,,,,,,
obl:cmpr,0.6644518272425249,0.5143953934740882,,0.42857142857142855,0.36519607843137253,1.0,0.5740740740740741,1.0,,,,,,
orphan,0.7058823529411765,0.24489795918367346,,,0.17647058823529413,,1.0,,,,,1.0,,
parataxis:insert,0.7316076294277929,0.32299741602067183,0.6451612903225806,0.5362318840579711,0.17473118279569894,1.0,0.8333333333333334,,0.8,1.0,,,,
parataxis:obj,0.7226519337016575,0.42883211678832117,0.5209580838323353,0.5558912386706949,0.5588235294117647,1.0,,,,,,,,
vocative,0.9111969111969112,0.6,1.0,,0.32432432432432434,,,,,,,,,
xcomp,0.9547872340425532,0.8525641025641025,0.3333333333333333,0.4351851851851852,0.14285714285714285,,,1.0,,,,,,
xcomp:cleft,1.0,,,,,,,,,,,,,
xcomp:pred,0.8571428571428571,0.6467661691542289,,0.35294117647058826,0.10810810810810811,,,,,,,,,
xcomp:subj,,,,0.6842105263157895,,,,,,,,,,
